,Account,Compound,Created Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago
0,@ssumday22,0.0,Thu Apr 19 02:03:46 +0000 2018,0.0,1.0,0.0,RT @100Thieves: Rooting on the @cavs tonight. Let’s get it ? #WhateverItTakes #AllForOne https://t.co/yLsmsrxSsX,1
1,@ssumday22,0.8257,Thu Apr 19 02:01:51 +0000 2018,0.0,0.61,0.39,RT @Cody_Sun1: CAVS won 100 - 97!! Woot! game was hype! 100 for 100Thieves ? https://t.co/CvBSu4umwt,2
2,@ssumday22,0.5994,Wed Apr 18 21:52:13 +0000 2018,0.0,0.506,0.494,I'm a NBA champion Kappa https://t.co/Bu88O1t832,3
3,@ssumday22,0.4588,Wed Apr 18 00:29:46 +0000 2018,0.0,0.5,0.5,What's your favorite sushi,4
4,@ssumday22,0.8585,Tue Apr 17 21:01:31 +0000 2018,0.0,0.678,0.322,RT @GrandCircusCo: It’s been a great afternoon in #Detroit! Thank you everyone who joined us for the @100Thieves Meet &amp; Greet! Shout out to…,5
5,@ssumday22,0.4995,Tue Apr 17 21:01:12 +0000 2018,0.0,0.877,0.123,"RT @QuickenLoans: Big THANK YOU to @100thieves for joining us in Detroit today &amp; spending the afternoon with some of our team members. 

Co…",6
6,@ssumday22,0.0,Tue Apr 17 18:26:25 +0000 2018,0.0,1.0,0.0,@Airlk_ Detroit,7
7,@ssumday22,0.0,Tue Apr 17 18:24:54 +0000 2018,0.0,1.0,0.0,Snow in April.. nani?,8
8,@ssumday22,0.68,Tue Apr 17 17:01:31 +0000 2018,0.0,0.752,0.248,"RT @RocketMortgage: Welcome to Detroit, @100Thieves! 

Fresh off their #NALCS Spring Split Finals appearance, our @lolesports team is visit…",9
9,@ssumday22,0.0,Mon Apr 16 22:54:40 +0000 2018,0.0,1.0,0.0,RT @ssumday22: ??? ??? ?? ????? ????? ?? ?  ????? ?????? ?? ????? ?? ????? ? ???????? ??? ??????? ??? ?????????? ?????????.,10
10,@ssumday22,0.0,Mon Apr 16 22:54:39 +0000 2018,0.0,1.0,0.0,RT @ssumday22: ????? ???? ?? ???? ? ??? ??? ?? ????? ???? ???? ?? ???? ???? ? ??? ???? ??? ????? ????? ?? ??? ??? ???? ?? ??????? ????????…,11
11,@ssumday22,0.5461,Sun Apr 15 20:30:13 +0000 2018,0.0,0.665,0.335,"RT @Origengg: GET READY!

15 minutes

? https://t.co/A0iNoDwGZ5 https://t.co/vAXOEKZDHF",12
