,Account,Compound,Created Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago
0,@Licorice,0.2732,Thu Apr 19 02:43:03 +0000 2018,0.0,0.811,0.189,"RT @Mushyee: well, here it is..my cosplay

COGGERS @Sneaky https://t.co/F2tY1Y4oRE",1
1,@Licorice,0.8442,Tue Apr 17 05:32:34 +0000 2018,0.0,0.606,0.394,"I'll be streaming again in a couple days, hope everyone enjoyed it ?also thanks @TheFirstBlade for the host",2
2,@Licorice,0.0,Tue Apr 17 00:43:16 +0000 2018,0.0,1.0,0.0,"Streaming solo q come watch! 
https://t.co/Y5fxnTnM3x",3
3,@Licorice,0.8658,Mon Apr 09 03:31:10 +0000 2018,0.0,0.651,0.349,RT @lol_Wiggily: I'd just like to begin by saying I'm grateful for the opportunity I was given to play for the C9 organization this split.…,4
4,@Licorice,0.8221,Sat Mar 31 21:48:21 +0000 2018,0.0,0.648,0.352,RT @lolesports: Congratulations to @Licorice for winning the 2018 #NALCS Spring Rookie of the Split! https://t.co/5eTwY2xYy6,5
5,@Licorice,0.5473,Fri Mar 30 10:21:30 +0000 2018,0.0,0.221,0.779,@KeatonNA LOL,6
6,@Licorice,0.0,Fri Mar 30 07:54:16 +0000 2018,0.0,1.0,0.0,@KeatonNA ?,7
7,@Licorice,0.6144,Sun Mar 25 01:21:44 +0000 2018,0.083,0.659,0.257,"I just wasn't good enough sorry to let everyone down. Thanks to all the fans for cheering for me and my team, going… https://t.co/eAFz59IFy0",8
8,@Licorice,0.3182,Sat Mar 17 21:54:23 +0000 2018,0.0,0.465,0.535,@FOX_Damonte Gl dude,9
9,@Licorice,0.7003,Tue Mar 13 07:43:52 +0000 2018,0.0,0.463,0.537,@richcarltonjp @Sneaky Thanks man have a good one,10
10,@Licorice,0.0,Mon Mar 12 06:49:52 +0000 2018,0.0,1.0,0.0,@benhead2007 @Danan dog?,11
11,@Licorice,0.5106,Sun Mar 11 05:06:53 +0000 2018,0.0,0.845,0.155,RT @FionnOnFire: The uncrowned rookie king @Licorice talks about the upcoming playoffs and keeping his confidence in check https://t.co/mt7…,12
12,@Licorice,0.4404,Mon Mar 05 00:29:07 +0000 2018,0.0,0.674,0.326,Ggs to @GoldenGuardians today was a lot better ?,13
13,@Licorice,0.0,Sun Mar 04 22:09:48 +0000 2018,0.0,1.0,0.0,@kkmakeup Aha oops ?,14
14,@Licorice,0.8591,Sun Mar 04 21:47:12 +0000 2018,0.0,0.588,0.412,"RT @deftlylol: super excited to play against @Cloud9 today, really looking forward to playing against my former teammate @Licorice",15
15,@Licorice,0.8591,Sun Mar 04 21:14:21 +0000 2018,0.0,0.553,0.447,"super excited to play against @GoldenGuardians today, really looking forward to playing against my former teammate @deftlylol",16
16,@Licorice,0.4404,Mon Feb 26 01:15:30 +0000 2018,0.0,0.508,0.492,@Nisqylol Thanks nisqy ??,17
17,@Licorice,0.4588,Mon Feb 26 01:00:10 +0000 2018,0.0,0.824,0.176,Glad we were able to pull out a 1-1 for the weekend ? ggs to clutch gaming,18
18,@Licorice,-0.6908,Mon Feb 26 00:56:49 +0000 2018,0.183,0.817,0.0,"RT @LoLEsportsStats: Here's how it's going to work: @Licorice will kill you, and then take your stuff. @Cloud9 solidifies their second plac…",19
19,@Licorice,0.4404,Wed Feb 21 19:05:01 +0000 2018,0.0,0.508,0.492,@LiquidDominate Thanks dom ??,20
20,@Licorice,0.2732,Thu Apr 19 02:43:03 +0000 2018,0.0,0.811,0.189,"RT @Mushyee: well, here it is..my cosplay

COGGERS @Sneaky https://t.co/F2tY1Y4oRE",21
21,@Licorice,0.8442,Tue Apr 17 05:32:34 +0000 2018,0.0,0.606,0.394,"I'll be streaming again in a couple days, hope everyone enjoyed it ?also thanks @TheFirstBlade for the host",22
22,@Licorice,0.0,Tue Apr 17 00:43:16 +0000 2018,0.0,1.0,0.0,"Streaming solo q come watch! 
https://t.co/Y5fxnTnM3x",23
23,@Licorice,0.8658,Mon Apr 09 03:31:10 +0000 2018,0.0,0.651,0.349,RT @lol_Wiggily: I'd just like to begin by saying I'm grateful for the opportunity I was given to play for the C9 organization this split.…,24
24,@Licorice,0.8221,Sat Mar 31 21:48:21 +0000 2018,0.0,0.648,0.352,RT @lolesports: Congratulations to @Licorice for winning the 2018 #NALCS Spring Rookie of the Split! https://t.co/5eTwY2xYy6,25
25,@Licorice,0.5473,Fri Mar 30 10:21:30 +0000 2018,0.0,0.221,0.779,@KeatonNA LOL,26
26,@Licorice,0.0,Fri Mar 30 07:54:16 +0000 2018,0.0,1.0,0.0,@KeatonNA ?,27
27,@Licorice,0.6144,Sun Mar 25 01:21:44 +0000 2018,0.083,0.659,0.257,"I just wasn't good enough sorry to let everyone down. Thanks to all the fans for cheering for me and my team, going… https://t.co/eAFz59IFy0",28
28,@Licorice,0.3182,Sat Mar 17 21:54:23 +0000 2018,0.0,0.465,0.535,@FOX_Damonte Gl dude,29
29,@Licorice,0.7003,Tue Mar 13 07:43:52 +0000 2018,0.0,0.463,0.537,@richcarltonjp @Sneaky Thanks man have a good one,30
30,@Licorice,0.0,Mon Mar 12 06:49:52 +0000 2018,0.0,1.0,0.0,@benhead2007 @Danan dog?,31
31,@Licorice,0.5106,Sun Mar 11 05:06:53 +0000 2018,0.0,0.845,0.155,RT @FionnOnFire: The uncrowned rookie king @Licorice talks about the upcoming playoffs and keeping his confidence in check https://t.co/mt7…,32
32,@Licorice,0.4404,Mon Mar 05 00:29:07 +0000 2018,0.0,0.674,0.326,Ggs to @GoldenGuardians today was a lot better ?,33
33,@Licorice,0.0,Sun Mar 04 22:09:48 +0000 2018,0.0,1.0,0.0,@kkmakeup Aha oops ?,34
34,@Licorice,0.8591,Sun Mar 04 21:47:12 +0000 2018,0.0,0.588,0.412,"RT @deftlylol: super excited to play against @Cloud9 today, really looking forward to playing against my former teammate @Licorice",35
