,Account,Compound,Created Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago
0,@BBCWorld,-0.4939,Wed Apr 18 03:48:34 +0000 2018,0.39,0.61,0.0,Malaria experts fear disease's resurgence https://t.co/dppRstozPC,1
1,@BBCWorld,0.0,Wed Apr 18 03:25:32 +0000 2018,0.0,1.0,0.0,"RT @samanthaTVnews: As #starbucks prepares to shut 8000 US stores for racial training over its treatment of 2 black men, we’re asking if th…",2
2,@BBCWorld,-0.5994,Wed Apr 18 02:39:42 +0000 2018,0.45,0.55,0.0,Australian surf event cancelled after shark attacks https://t.co/cvkssQ0MFB,3
3,@BBCWorld,0.5719,Wed Apr 18 01:45:00 +0000 2018,0.0,0.73,0.27,RT @BBCNewsAsia: Jessie J has won China's version of the X Factor. https://t.co/BR0CmirTIM,4
4,@BBCWorld,0.0,Wed Apr 18 01:38:00 +0000 2018,0.0,1.0,0.0,"CIA director Mike Pompeo travelled to Pyongyang for a secret meeting with North Korean leader Kim Jong-un, US media… https://t.co/qwz3ZZgeHv",5
5,@BBCWorld,0.0,Wed Apr 18 01:31:33 +0000 2018,0.0,1.0,0.0,In pictures: Israel at 70 - seven iconic moments https://t.co/9ZVWJdoD5t,6
6,@BBCWorld,0.5859,Wed Apr 18 01:31:32 +0000 2018,0.0,0.676,0.324,Will China beat the world to nuclear fusion and clean energy? https://t.co/iOrhnIEQAm,7
7,@BBCWorld,-0.7964,Wed Apr 18 01:31:32 +0000 2018,0.618,0.382,0.0,Turkey's anti-war protesters detained: 'Everything is a crime' https://t.co/E1JWsLiMzY,8
8,@BBCWorld,0.128,Wed Apr 18 01:31:32 +0000 2018,0.248,0.459,0.294,Sweden's deadly problem with hand grenades https://t.co/CJNhbKXaTX,9
9,@BBCWorld,-0.5106,Wed Apr 18 01:31:32 +0000 2018,0.32,0.68,0.0,Sting: 'Cultural appropriation is an ugly term' https://t.co/PeV0OtKpSF,10
10,@BBCWorld,0.0,Wed Apr 18 01:31:32 +0000 2018,0.0,1.0,0.0,Commonwealth Games: A turning point for Indian sport? https://t.co/cRyRl9G2Fz,11
11,@BBCWorld,0.0,Wed Apr 18 00:44:37 +0000 2018,0.0,1.0,0.0,"Barbara Bush, matriarch of US political dynasty, dies at 92 https://t.co/GH1giNY8sP",12
12,@BBCWorld,0.0,Tue Apr 17 23:49:23 +0000 2018,0.0,1.0,0.0,Former US First Lady Barbara Bush dies at 92 https://t.co/lvOhTFTe2v,13
13,@BBCWorld,0.0,Tue Apr 17 23:49:22 +0000 2018,0.0,1.0,0.0,"Braille, strips and tactile signs https://t.co/egZDGQ3y04",14
14,@BBCWorld,-0.5106,Tue Apr 17 21:55:55 +0000 2018,0.268,0.732,0.0,"RT @BBCNorthAmerica: Trump: 'Without me, Olympics would've been a failure' https://t.co/hvI9Vu5QDp",15
15,@BBCWorld,0.0,Tue Apr 17 21:10:42 +0000 2018,0.0,1.0,0.0,Stormy Daniels: 'That's between Trump and his family' https://t.co/aKWSRlxing,16
16,@BBCWorld,0.0,Tue Apr 17 20:51:27 +0000 2018,0.0,1.0,0.0,Watch US tornado rip roof from house https://t.co/tQltrbmZ1V,17
17,@BBCWorld,0.0,Tue Apr 17 20:34:07 +0000 2018,0.0,1.0,0.0,Stormy Daniels unveils sketch of man who 'threatened' her https://t.co/y7qq4g5acK,18
18,@BBCWorld,0.34,Tue Apr 17 20:34:07 +0000 2018,0.0,0.806,0.194,Abe commends Trump for agreeing to summit with Kim Jong-un https://t.co/kKFAWAtVdM,19
19,@BBCWorld,0.0,Tue Apr 17 20:32:52 +0000 2018,0.0,1.0,0.0,RT @BBC_HaveYourSay: When a seven-hour hike turns into a photographic proposal by storytelling artist @LydiaFama to partner and fellow game…,20
20,@BBCWorld,-0.4939,Wed Apr 18 03:48:34 +0000 2018,0.39,0.61,0.0,Malaria experts fear disease's resurgence https://t.co/dppRstozPC,21
21,@BBCWorld,0.0,Wed Apr 18 03:25:32 +0000 2018,0.0,1.0,0.0,"RT @samanthaTVnews: As #starbucks prepares to shut 8000 US stores for racial training over its treatment of 2 black men, we’re asking if th…",22
22,@BBCWorld,-0.5994,Wed Apr 18 02:39:42 +0000 2018,0.45,0.55,0.0,Australian surf event cancelled after shark attacks https://t.co/cvkssQ0MFB,23
23,@BBCWorld,0.5719,Wed Apr 18 01:45:00 +0000 2018,0.0,0.73,0.27,RT @BBCNewsAsia: Jessie J has won China's version of the X Factor. https://t.co/BR0CmirTIM,24
24,@BBCWorld,0.0,Wed Apr 18 01:38:00 +0000 2018,0.0,1.0,0.0,"CIA director Mike Pompeo travelled to Pyongyang for a secret meeting with North Korean leader Kim Jong-un, US media… https://t.co/qwz3ZZgeHv",25
25,@BBCWorld,0.0,Wed Apr 18 01:31:33 +0000 2018,0.0,1.0,0.0,In pictures: Israel at 70 - seven iconic moments https://t.co/9ZVWJdoD5t,26
26,@BBCWorld,0.5859,Wed Apr 18 01:31:32 +0000 2018,0.0,0.676,0.324,Will China beat the world to nuclear fusion and clean energy? https://t.co/iOrhnIEQAm,27
