,Account,Compound,Created Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago
0,@Huni,0.7762,Sat Apr 14 06:01:05 +0000 2018,0.0,0.658,0.342,Ty for 200k followers ! Let's go for another 100k !!!!! Pic in #GriffithPark  :) https://t.co/mRxqSICpmI,1
1,@Huni,0.0,Sun Apr 08 21:21:12 +0000 2018,0.0,1.0,0.0,RT @lolesports: .@Huni joins the Analyst Desk to break down game one! #NALCS https://t.co/UJoVP8kRVa,2
2,@Huni,-0.5216,Sun Apr 08 18:19:58 +0000 2018,0.174,0.826,0.0,"RT @echofoxgg: if you                   then you
don't love           don't deserve
me at my            me at my https://t.co/rvGMbHbfVd",3
3,@Huni,0.9411,Sun Apr 08 03:51:23 +0000 2018,0.0,0.427,0.573,. @DrunkenDragons thanks for the best meal (krbbq) in Miami !!! Amazing team dinner :) https://t.co/vdLtreQTIT,4
4,@Huni,0.0,Sun Apr 08 00:16:58 +0000 2018,0.0,1.0,0.0,@AltecLoL Ofc hot as much as u,5
5,@Huni,0.4588,Sun Apr 08 00:06:30 +0000 2018,0.0,0.0,1.0,:),6
6,@Huni,0.4588,Fri Apr 06 18:57:06 +0000 2018,0.0,0.25,0.75,:) https://t.co/v9oe8LMsY6,7
7,@Huni,-0.2263,Fri Apr 06 16:08:09 +0000 2018,0.091,0.909,0.0,"RT @echofoxgg: The moment you've been waiting for.

Check out the Echo Fox Limited Edition Merch NOW. ??

Pre-Order/Purchase ? https://t.co…",8
8,@Huni,-0.6369,Fri Apr 06 16:06:11 +0000 2018,0.464,0.536,0.0,@ElieDeshe .. lost even in miami :( https://t.co/32Us4iUGcA,9
9,@Huni,0.0,Thu Apr 05 19:49:46 +0000 2018,0.0,1.0,0.0,"RT @echofoxgg: ?? ?
????*
???*???
??? *???? *
? ? ?*?????
????????°*. ?
*????·*?? ?*
???? *.??????
??* ? ???*.?
??? *?? ??? *  ?
???????? ?…",10
10,@Huni,0.0,Mon Apr 02 01:01:02 +0000 2018,0.0,1.0,0.0,RT @lolesports: .@Huni joins @RiotJatt on Team Canada ?? in a totally legitimate way https://t.co/IL7FUGkwLh,11
