,Account,Compound,Created Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago
0,@Lourlo,-0.7579,Thu Apr 19 03:07:19 +0000 2018,0.52,0.48,0.0,Back from the dead come stop by https://t.co/0vi6L3AFR3,1
1,@Lourlo,0.7531,Thu Apr 19 02:20:27 +0000 2018,0.0,0.437,0.563,@inerolol @OvileeMay LOL it'll b good for him ?,2
2,@Lourlo,0.0,Thu Apr 19 02:03:35 +0000 2018,0.0,1.0,0.0,@OvileeMay luigi's mansion,3
3,@Lourlo,-0.1723,Thu Apr 19 01:37:26 +0000 2018,0.286,0.473,0.241,@pr0llyLOL holy fk that's so sick have fun dude,4
4,@Lourlo,0.0,Wed Apr 18 22:05:28 +0000 2018,0.0,1.0,0.0,@FeelsAshleyMan Left,5
5,@Lourlo,0.0,Wed Apr 18 05:04:43 +0000 2018,0.0,1.0,0.0,@Contractz Gimme gimme,6
6,@Lourlo,0.0,Tue Apr 17 15:51:43 +0000 2018,0.0,1.0,0.0,@TLOlleh American olleh transformation nearly complete,7
7,@Lourlo,0.7506,Sun Apr 15 02:20:56 +0000 2018,0.0,0.238,0.762,@YassuoNA Congrats Moe :),8
8,@Lourlo,0.0,Sun Apr 08 20:33:41 +0000 2018,0.0,1.0,0.0,holy moly xmithie does it again,9
9,@Lourlo,0.5267,Sat Apr 07 22:48:43 +0000 2018,0.0,0.541,0.459,Congrats @Dardochlol you were smurfing ?,10
10,@Lourlo,0.0,Sat Apr 07 19:30:50 +0000 2018,0.0,1.0,0.0,@RiotPhreak shoes ?,11
11,@Lourlo,0.0772,Sat Apr 07 04:41:08 +0000 2018,0.146,0.697,0.157,okay my PC went boom I need to figure out some things might stream in the morning if i can resolve some issues sorry guys :(,12
12,@Lourlo,0.0,Sat Apr 07 04:02:05 +0000 2018,0.0,1.0,0.0,On for a little bit https://t.co/0vi6L3AFR3,13
13,@Lourlo,0.0,Fri Apr 06 22:09:39 +0000 2018,0.0,1.0,0.0,@Filthy_Leech Soontm,14
14,@Lourlo,0.0107,Fri Apr 06 22:06:24 +0000 2018,0.139,0.72,0.141,"This weekend is going to be insane can't wait, that hype video was so well done",15
15,@Lourlo,-0.128,Fri Apr 06 04:43:48 +0000 2018,0.277,0.495,0.228,@CoachTyler please give me that i'm starving,16
16,@Lourlo,0.5473,Thu Apr 05 23:30:52 +0000 2018,0.0,0.629,0.371,@Pinkwardlol LOL hook me up with a hoodie,17
17,@Lourlo,0.5106,Thu Apr 05 16:06:39 +0000 2018,0.0,0.548,0.452,@CoachTyler Ayyy have fun Tyler,18
18,@Lourlo,-0.6908,Thu Apr 05 05:36:40 +0000 2018,0.655,0.345,0.0,@ThixNation @TH6TV damn im jealous,19
19,@Lourlo,0.0,Thu Apr 05 03:32:14 +0000 2018,0.0,1.0,0.0,@tsmishot ggslourlo,20
20,@Lourlo,-0.7579,Thu Apr 19 03:07:19 +0000 2018,0.52,0.48,0.0,Back from the dead come stop by https://t.co/0vi6L3AFR3,21
21,@Lourlo,0.7531,Thu Apr 19 02:20:27 +0000 2018,0.0,0.437,0.563,@inerolol @OvileeMay LOL it'll b good for him ?,22
22,@Lourlo,0.0,Thu Apr 19 02:03:35 +0000 2018,0.0,1.0,0.0,@OvileeMay luigi's mansion,23
23,@Lourlo,-0.1723,Thu Apr 19 01:37:26 +0000 2018,0.286,0.473,0.241,@pr0llyLOL holy fk that's so sick have fun dude,24
24,@Lourlo,0.0,Wed Apr 18 22:05:28 +0000 2018,0.0,1.0,0.0,@FeelsAshleyMan Left,25
25,@Lourlo,0.0,Wed Apr 18 05:04:43 +0000 2018,0.0,1.0,0.0,@Contractz Gimme gimme,26
26,@Lourlo,0.0,Tue Apr 17 15:51:43 +0000 2018,0.0,1.0,0.0,@TLOlleh American olleh transformation nearly complete,27
27,@Lourlo,0.7506,Sun Apr 15 02:20:56 +0000 2018,0.0,0.238,0.762,@YassuoNA Congrats Moe :),28
28,@Lourlo,0.0,Sun Apr 08 20:33:41 +0000 2018,0.0,1.0,0.0,holy moly xmithie does it again,29
29,@Lourlo,0.5267,Sat Apr 07 22:48:43 +0000 2018,0.0,0.541,0.459,Congrats @Dardochlol you were smurfing ?,30
30,@Lourlo,0.0,Sat Apr 07 19:30:50 +0000 2018,0.0,1.0,0.0,@RiotPhreak shoes ?,31
31,@Lourlo,0.0772,Sat Apr 07 04:41:08 +0000 2018,0.146,0.697,0.157,okay my PC went boom I need to figure out some things might stream in the morning if i can resolve some issues sorry guys :(,32
32,@Lourlo,0.0,Sat Apr 07 04:02:05 +0000 2018,0.0,1.0,0.0,On for a little bit https://t.co/0vi6L3AFR3,33
33,@Lourlo,0.0,Fri Apr 06 22:09:39 +0000 2018,0.0,1.0,0.0,@Filthy_Leech Soontm,34
34,@Lourlo,0.0107,Fri Apr 06 22:06:24 +0000 2018,0.139,0.72,0.141,"This weekend is going to be insane can't wait, that hype video was so well done",35
35,@Lourlo,-0.128,Fri Apr 06 04:43:48 +0000 2018,0.277,0.495,0.228,@CoachTyler please give me that i'm starving,36
36,@Lourlo,0.5473,Thu Apr 05 23:30:52 +0000 2018,0.0,0.629,0.371,@Pinkwardlol LOL hook me up with a hoodie,37
37,@Lourlo,0.5106,Thu Apr 05 16:06:39 +0000 2018,0.0,0.548,0.452,@CoachTyler Ayyy have fun Tyler,38
38,@Lourlo,-0.6908,Thu Apr 05 05:36:40 +0000 2018,0.655,0.345,0.0,@ThixNation @TH6TV damn im jealous,39
39,@Lourlo,0.0,Thu Apr 05 03:32:14 +0000 2018,0.0,1.0,0.0,@tsmishot ggslourlo,40
40,@Lourlo,-0.7579,Thu Apr 19 03:07:19 +0000 2018,0.52,0.48,0.0,Back from the dead come stop by https://t.co/0vi6L3AFR3,41
41,@Lourlo,0.7531,Thu Apr 19 02:20:27 +0000 2018,0.0,0.437,0.563,@inerolol @OvileeMay LOL it'll b good for him ?,42
42,@Lourlo,0.0,Thu Apr 19 02:03:35 +0000 2018,0.0,1.0,0.0,@OvileeMay luigi's mansion,43
43,@Lourlo,-0.1723,Thu Apr 19 01:37:26 +0000 2018,0.286,0.473,0.241,@pr0llyLOL holy fk that's so sick have fun dude,44
44,@Lourlo,0.0,Wed Apr 18 22:05:28 +0000 2018,0.0,1.0,0.0,@FeelsAshleyMan Left,45
45,@Lourlo,0.0,Wed Apr 18 05:04:43 +0000 2018,0.0,1.0,0.0,@Contractz Gimme gimme,46
46,@Lourlo,0.0,Tue Apr 17 15:51:43 +0000 2018,0.0,1.0,0.0,@TLOlleh American olleh transformation nearly complete,47
47,@Lourlo,0.7506,Sun Apr 15 02:20:56 +0000 2018,0.0,0.238,0.762,@YassuoNA Congrats Moe :),48
48,@Lourlo,0.0,Sun Apr 08 20:33:41 +0000 2018,0.0,1.0,0.0,holy moly xmithie does it again,49
49,@Lourlo,0.5267,Sat Apr 07 22:48:43 +0000 2018,0.0,0.541,0.459,Congrats @Dardochlol you were smurfing ?,50
50,@Lourlo,0.0,Sat Apr 07 19:30:50 +0000 2018,0.0,1.0,0.0,@RiotPhreak shoes ?,51
51,@Lourlo,0.0772,Sat Apr 07 04:41:08 +0000 2018,0.146,0.697,0.157,okay my PC went boom I need to figure out some things might stream in the morning if i can resolve some issues sorry guys :(,52
52,@Lourlo,0.0,Sat Apr 07 04:02:05 +0000 2018,0.0,1.0,0.0,On for a little bit https://t.co/0vi6L3AFR3,53
53,@Lourlo,0.0,Fri Apr 06 22:09:39 +0000 2018,0.0,1.0,0.0,@Filthy_Leech Soontm,54
54,@Lourlo,0.0107,Fri Apr 06 22:06:24 +0000 2018,0.139,0.72,0.141,"This weekend is going to be insane can't wait, that hype video was so well done",55
55,@Lourlo,-0.128,Fri Apr 06 04:43:48 +0000 2018,0.277,0.495,0.228,@CoachTyler please give me that i'm starving,56
56,@Lourlo,0.5473,Thu Apr 05 23:30:52 +0000 2018,0.0,0.629,0.371,@Pinkwardlol LOL hook me up with a hoodie,57
57,@Lourlo,0.5106,Thu Apr 05 16:06:39 +0000 2018,0.0,0.548,0.452,@CoachTyler Ayyy have fun Tyler,58
58,@Lourlo,-0.6908,Thu Apr 05 05:36:40 +0000 2018,0.655,0.345,0.0,@ThixNation @TH6TV damn im jealous,59
59,@Lourlo,0.0,Thu Apr 05 03:32:14 +0000 2018,0.0,1.0,0.0,@tsmishot ggslourlo,60
60,@Lourlo,-0.7579,Thu Apr 19 03:07:19 +0000 2018,0.52,0.48,0.0,Back from the dead come stop by https://t.co/0vi6L3AFR3,61
61,@Lourlo,0.7531,Thu Apr 19 02:20:27 +0000 2018,0.0,0.437,0.563,@inerolol @OvileeMay LOL it'll b good for him ?,62
62,@Lourlo,0.0,Thu Apr 19 02:03:35 +0000 2018,0.0,1.0,0.0,@OvileeMay luigi's mansion,63
63,@Lourlo,-0.1723,Thu Apr 19 01:37:26 +0000 2018,0.286,0.473,0.241,@pr0llyLOL holy fk that's so sick have fun dude,64
64,@Lourlo,0.0,Wed Apr 18 22:05:28 +0000 2018,0.0,1.0,0.0,@FeelsAshleyMan Left,65
65,@Lourlo,0.0,Wed Apr 18 05:04:43 +0000 2018,0.0,1.0,0.0,@Contractz Gimme gimme,66
66,@Lourlo,0.0,Tue Apr 17 15:51:43 +0000 2018,0.0,1.0,0.0,@TLOlleh American olleh transformation nearly complete,67
67,@Lourlo,0.7506,Sun Apr 15 02:20:56 +0000 2018,0.0,0.238,0.762,@YassuoNA Congrats Moe :),68
68,@Lourlo,0.0,Sun Apr 08 20:33:41 +0000 2018,0.0,1.0,0.0,holy moly xmithie does it again,69
69,@Lourlo,0.5267,Sat Apr 07 22:48:43 +0000 2018,0.0,0.541,0.459,Congrats @Dardochlol you were smurfing ?,70
70,@Lourlo,0.0,Sat Apr 07 19:30:50 +0000 2018,0.0,1.0,0.0,@RiotPhreak shoes ?,71
71,@Lourlo,0.0772,Sat Apr 07 04:41:08 +0000 2018,0.146,0.697,0.157,okay my PC went boom I need to figure out some things might stream in the morning if i can resolve some issues sorry guys :(,72
72,@Lourlo,0.0,Sat Apr 07 04:02:05 +0000 2018,0.0,1.0,0.0,On for a little bit https://t.co/0vi6L3AFR3,73
73,@Lourlo,0.0,Fri Apr 06 22:09:39 +0000 2018,0.0,1.0,0.0,@Filthy_Leech Soontm,74
74,@Lourlo,0.0107,Fri Apr 06 22:06:24 +0000 2018,0.139,0.72,0.141,"This weekend is going to be insane can't wait, that hype video was so well done",75
75,@Lourlo,-0.128,Fri Apr 06 04:43:48 +0000 2018,0.277,0.495,0.228,@CoachTyler please give me that i'm starving,76
76,@Lourlo,0.5473,Thu Apr 05 23:30:52 +0000 2018,0.0,0.629,0.371,@Pinkwardlol LOL hook me up with a hoodie,77
77,@Lourlo,0.5106,Thu Apr 05 16:06:39 +0000 2018,0.0,0.548,0.452,@CoachTyler Ayyy have fun Tyler,78
78,@Lourlo,-0.6908,Thu Apr 05 05:36:40 +0000 2018,0.655,0.345,0.0,@ThixNation @TH6TV damn im jealous,79
79,@Lourlo,0.0,Thu Apr 05 03:32:14 +0000 2018,0.0,1.0,0.0,@tsmishot ggslourlo,80
80,@Lourlo,-0.7579,Thu Apr 19 03:07:19 +0000 2018,0.52,0.48,0.0,Back from the dead come stop by https://t.co/0vi6L3AFR3,81
81,@Lourlo,0.7531,Thu Apr 19 02:20:27 +0000 2018,0.0,0.437,0.563,@inerolol @OvileeMay LOL it'll b good for him ?,82
82,@Lourlo,0.0,Thu Apr 19 02:03:35 +0000 2018,0.0,1.0,0.0,@OvileeMay luigi's mansion,83
83,@Lourlo,-0.1723,Thu Apr 19 01:37:26 +0000 2018,0.286,0.473,0.241,@pr0llyLOL holy fk that's so sick have fun dude,84
84,@Lourlo,0.0,Wed Apr 18 22:05:28 +0000 2018,0.0,1.0,0.0,@FeelsAshleyMan Left,85
85,@Lourlo,0.0,Wed Apr 18 05:04:43 +0000 2018,0.0,1.0,0.0,@Contractz Gimme gimme,86
86,@Lourlo,0.0,Tue Apr 17 15:51:43 +0000 2018,0.0,1.0,0.0,@TLOlleh American olleh transformation nearly complete,87
87,@Lourlo,0.7506,Sun Apr 15 02:20:56 +0000 2018,0.0,0.238,0.762,@YassuoNA Congrats Moe :),88
88,@Lourlo,0.0,Sun Apr 08 20:33:41 +0000 2018,0.0,1.0,0.0,holy moly xmithie does it again,89
89,@Lourlo,0.5267,Sat Apr 07 22:48:43 +0000 2018,0.0,0.541,0.459,Congrats @Dardochlol you were smurfing ?,90
90,@Lourlo,0.0,Sat Apr 07 19:30:50 +0000 2018,0.0,1.0,0.0,@RiotPhreak shoes ?,91
91,@Lourlo,0.0772,Sat Apr 07 04:41:08 +0000 2018,0.146,0.697,0.157,okay my PC went boom I need to figure out some things might stream in the morning if i can resolve some issues sorry guys :(,92
92,@Lourlo,0.0,Sat Apr 07 04:02:05 +0000 2018,0.0,1.0,0.0,On for a little bit https://t.co/0vi6L3AFR3,93
93,@Lourlo,0.0,Fri Apr 06 22:09:39 +0000 2018,0.0,1.0,0.0,@Filthy_Leech Soontm,94
94,@Lourlo,0.0107,Fri Apr 06 22:06:24 +0000 2018,0.139,0.72,0.141,"This weekend is going to be insane can't wait, that hype video was so well done",95
95,@Lourlo,-0.128,Fri Apr 06 04:43:48 +0000 2018,0.277,0.495,0.228,@CoachTyler please give me that i'm starving,96
96,@Lourlo,0.5473,Thu Apr 05 23:30:52 +0000 2018,0.0,0.629,0.371,@Pinkwardlol LOL hook me up with a hoodie,97
97,@Lourlo,0.5106,Thu Apr 05 16:06:39 +0000 2018,0.0,0.548,0.452,@CoachTyler Ayyy have fun Tyler,98
98,@Lourlo,-0.6908,Thu Apr 05 05:36:40 +0000 2018,0.655,0.345,0.0,@ThixNation @TH6TV damn im jealous,99
99,@Lourlo,0.0,Thu Apr 05 03:32:14 +0000 2018,0.0,1.0,0.0,@tsmishot ggslourlo,100
100,@Contractz,0.3612,Wed Apr 18 21:03:57 +0000 2018,0.0,0.706,0.294,finally got a haircut after like 3 months waddup,101
101,@Contractz,0.6369,Wed Apr 18 02:27:06 +0000 2018,0.0,0.588,0.412,anyone else love green apple green tea,102
102,@Contractz,-0.4976,Sat Apr 14 00:39:11 +0000 2018,0.287,0.713,0.0,@Biofrostlol your tweets are almost as bad as mine,103
103,@Contractz,-0.3612,Fri Apr 13 20:47:14 +0000 2018,0.217,0.783,0.0,@Hai im too lazy to catch up on the manga,104
104,@Contractz,0.0,Fri Apr 13 07:21:41 +0000 2018,0.0,1.0,0.0,el psy kongroo,105
105,@Contractz,0.0,Thu Apr 12 01:58:45 +0000 2018,0.0,1.0,0.0,@Impact ?,106
106,@Contractz,0.0,Tue Apr 10 16:24:33 +0000 2018,0.0,1.0,0.0,im just going for a checkup im not dying,107
107,@Contractz,0.8964,Tue Apr 10 16:19:38 +0000 2018,0.0,0.482,0.518,Going to the doctors for the first time in like 6 years LMFAO i hope im ok,108
108,@Contractz,0.5777,Tue Apr 10 07:34:19 +0000 2018,0.0,0.445,0.555,@xpori ur so good,109
109,@Contractz,0.6369,Tue Apr 10 02:12:49 +0000 2018,0.0,0.488,0.512,@Akaadian same i love the bay,110
110,@Contractz,0.0,Mon Apr 09 05:08:07 +0000 2018,0.0,1.0,0.0,@CoachTyler why are your legs tokyo vibe,111
111,@Contractz,0.4404,Mon Apr 09 00:24:59 +0000 2018,0.0,0.58,0.42,good job @Impact ur a beast,112
112,@Contractz,-0.5267,Sun Apr 08 03:35:36 +0000 2018,0.524,0.476,0.0,@Smaximus1 @Sneaky no game no life,113
113,@Contractz,0.2023,Sun Apr 08 02:23:45 +0000 2018,0.151,0.635,0.214,@Cloud9 @Sneaky @kimbal @biggreen First time seeing sneaky eating healthy,114
114,@Contractz,0.4404,Fri Apr 06 23:53:26 +0000 2018,0.0,0.508,0.492,@Voyboy good work trooper,115
115,@Contractz,0.0,Fri Apr 06 21:19:18 +0000 2018,0.0,1.0,0.0,tmrw https://t.co/RWfACyggD0,116
116,@Contractz,0.5766,Fri Apr 06 14:54:17 +0000 2018,0.0,0.573,0.427,@Paolo_Pashi one piece is MY FAV,117
117,@Contractz,0.296,Fri Apr 06 14:54:03 +0000 2018,0.0,0.784,0.216,@ShahirShahar yeah watched it a long time ago was lit,118
118,@Contractz,0.6369,Fri Apr 06 14:09:13 +0000 2018,0.0,0.192,0.808,I LOVE NARUTO,119
119,@Contractz,0.5473,Fri Apr 06 12:53:06 +0000 2018,0.0,0.819,0.181,@Shiba_Sean dude i rewatched the first episode of yugioh a while ago and i couldnt even get through it LOL,120
120,@Contractz,0.3612,Wed Apr 18 21:03:57 +0000 2018,0.0,0.706,0.294,finally got a haircut after like 3 months waddup,121
121,@Contractz,0.6369,Wed Apr 18 02:27:06 +0000 2018,0.0,0.588,0.412,anyone else love green apple green tea,122
122,@Contractz,-0.4976,Sat Apr 14 00:39:11 +0000 2018,0.287,0.713,0.0,@Biofrostlol your tweets are almost as bad as mine,123
123,@Contractz,-0.3612,Fri Apr 13 20:47:14 +0000 2018,0.217,0.783,0.0,@Hai im too lazy to catch up on the manga,124
124,@Contractz,0.0,Fri Apr 13 07:21:41 +0000 2018,0.0,1.0,0.0,el psy kongroo,125
125,@Contractz,0.0,Thu Apr 12 01:58:45 +0000 2018,0.0,1.0,0.0,@Impact ?,126
126,@Contractz,0.0,Tue Apr 10 16:24:33 +0000 2018,0.0,1.0,0.0,im just going for a checkup im not dying,127
127,@Contractz,0.8964,Tue Apr 10 16:19:38 +0000 2018,0.0,0.482,0.518,Going to the doctors for the first time in like 6 years LMFAO i hope im ok,128
128,@Contractz,0.5777,Tue Apr 10 07:34:19 +0000 2018,0.0,0.445,0.555,@xpori ur so good,129
129,@Contractz,0.6369,Tue Apr 10 02:12:49 +0000 2018,0.0,0.488,0.512,@Akaadian same i love the bay,130
130,@Contractz,0.0,Mon Apr 09 05:08:07 +0000 2018,0.0,1.0,0.0,@CoachTyler why are your legs tokyo vibe,131
131,@Contractz,0.4404,Mon Apr 09 00:24:59 +0000 2018,0.0,0.58,0.42,good job @Impact ur a beast,132
132,@Contractz,-0.5267,Sun Apr 08 03:35:36 +0000 2018,0.524,0.476,0.0,@Smaximus1 @Sneaky no game no life,133
133,@Contractz,0.2023,Sun Apr 08 02:23:45 +0000 2018,0.151,0.635,0.214,@Cloud9 @Sneaky @kimbal @biggreen First time seeing sneaky eating healthy,134
134,@Contractz,0.4404,Fri Apr 06 23:53:26 +0000 2018,0.0,0.508,0.492,@Voyboy good work trooper,135
135,@Contractz,0.0,Fri Apr 06 21:19:18 +0000 2018,0.0,1.0,0.0,tmrw https://t.co/RWfACyggD0,136
136,@Contractz,0.5766,Fri Apr 06 14:54:17 +0000 2018,0.0,0.573,0.427,@Paolo_Pashi one piece is MY FAV,137
137,@Contractz,0.296,Fri Apr 06 14:54:03 +0000 2018,0.0,0.784,0.216,@ShahirShahar yeah watched it a long time ago was lit,138
138,@Contractz,0.6369,Fri Apr 06 14:09:13 +0000 2018,0.0,0.192,0.808,I LOVE NARUTO,139
139,@Contractz,0.5473,Fri Apr 06 12:53:06 +0000 2018,0.0,0.819,0.181,@Shiba_Sean dude i rewatched the first episode of yugioh a while ago and i couldnt even get through it LOL,140
140,@Contractz,0.3612,Wed Apr 18 21:03:57 +0000 2018,0.0,0.706,0.294,finally got a haircut after like 3 months waddup,141
141,@Contractz,0.6369,Wed Apr 18 02:27:06 +0000 2018,0.0,0.588,0.412,anyone else love green apple green tea,142
