,Account,Compound,Created Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago
0,@zigL0L,-0.4939,Sun Apr 01 20:07:41 +0000 2018,0.225,0.775,0.0,RT @LiquidDominate: April fools makin me wanna unfollow everybody on my timeline.,1
1,@zigL0L,0.6249,Thu Mar 29 08:58:57 +0000 2018,0.0,0.661,0.339,RT @rickygervais: Have a great day my fellow apes. https://t.co/v6EvkFcH0b,2
2,@zigL0L,0.0,Sun Mar 25 00:13:44 +0000 2018,0.0,1.0,0.0,@InsanityXXXlol That's life,3
3,@zigL0L,-0.6249,Sat Mar 24 19:29:47 +0000 2018,0.212,0.788,0.0,"RT @InvenGlobal: [Interview] JAG Coach Fly: ""The players making the same mistake is mostly my fault because I’m their coach.""
https://t.co/…",4
4,@zigL0L,0.0,Sat Mar 17 00:28:01 +0000 2018,0.0,1.0,0.0,@cg_piglet Nutty,5
5,@zigL0L,0.0,Tue Mar 13 16:24:33 +0000 2018,0.0,1.0,0.0,321308793,6
6,@zigL0L,-0.5574,Mon Mar 12 00:03:55 +0000 2018,0.31,0.69,0.0,Ran it down today and it felt sooooooooo shit,7
7,@zigL0L,0.4404,Sun Mar 11 03:53:07 +0000 2018,0.0,0.674,0.326,@RisenLazarus seems good for running it down ?,8
8,@zigL0L,-0.4767,Sun Mar 11 03:44:09 +0000 2018,0.608,0.392,0.0,@RisenLazarus what's wrong,9
9,@zigL0L,0.0,Sun Mar 11 01:25:50 +0000 2018,0.0,1.0,0.0,Guardian Ornn ?,10
10,@zigL0L,0.4215,Sat Mar 10 23:26:36 +0000 2018,0.0,0.417,0.583,@OpTicLoL @Cloud9 Winnable,11
11,@zigL0L,0.5719,Sat Mar 10 21:30:24 +0000 2018,0.0,0.351,0.649,@sktpirean @TSM_Brandini Delicious,12
12,@zigL0L,-0.296,Fri Mar 09 23:12:43 +0000 2018,0.081,0.919,0.0,"RT @OpTicLoL: Only 2 weeks of LCS left and that time really goes by fast. 
Get an inside look at the pressure and expectations the team fac…",13
13,@zigL0L,0.4588,Fri Mar 09 07:39:47 +0000 2018,0.0,0.714,0.286,"RT @PowerOfEvilLoL: Guys, I need 20k RT
____
Help me out plz https://t.co/qqDSYHMSLW",14
14,@zigL0L,0.0,Fri Mar 02 20:49:40 +0000 2018,0.0,1.0,0.0,@OhhRogerr hellz yea,15
15,@zigL0L,0.0,Fri Mar 02 20:43:53 +0000 2018,0.0,1.0,0.0,"RT @OpTicLoL: Take a closer look at our 6 man roster in the latest episode of our series! RECALL: Countdown is live now. ????

?: https://t…",16
16,@zigL0L,0.0,Sun Feb 25 03:52:40 +0000 2018,0.0,1.0,0.0,@RisenLazarus too real,17
17,@zigL0L,0.0,Sun Feb 25 03:45:30 +0000 2018,0.0,1.0,0.0,@ArrowDongTak @LovePentaKills @RyuL0L @P1_Zyto Naked shrimp,18
18,@zigL0L,0.4404,Sun Feb 25 02:56:42 +0000 2018,0.0,0.734,0.266,@LovePentaKills @ArrowDongTak @RyuL0L @P1_Zyto Thanks for the tag/invite brother,19
19,@zigL0L,0.8172,Sat Feb 24 20:18:10 +0000 2018,0.0,0.655,0.345,"RT @OpTicLoL: Please join us in welcoming Niship ""Dhokla"" Doshi, our starting top laner for today's match vs @GoldenGuardians! 

?: 5PM PST…",20
20,@zigL0L,-0.4939,Sun Apr 01 20:07:41 +0000 2018,0.225,0.775,0.0,RT @LiquidDominate: April fools makin me wanna unfollow everybody on my timeline.,21
21,@zigL0L,0.6249,Thu Mar 29 08:58:57 +0000 2018,0.0,0.661,0.339,RT @rickygervais: Have a great day my fellow apes. https://t.co/v6EvkFcH0b,22
22,@zigL0L,0.0,Sun Mar 25 00:13:44 +0000 2018,0.0,1.0,0.0,@InsanityXXXlol That's life,23
23,@zigL0L,-0.6249,Sat Mar 24 19:29:47 +0000 2018,0.212,0.788,0.0,"RT @InvenGlobal: [Interview] JAG Coach Fly: ""The players making the same mistake is mostly my fault because I’m their coach.""
https://t.co/…",24
