,Account,Compound,Created Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago
0,@lolHauntzer,0.25,Tue Apr 17 07:04:27 +0000 2018,0.18,0.523,0.297,Just tried Conqueror on Singed by accident and it was surprisingly good,1
1,@lolHauntzer,0.784,Tue Apr 17 05:43:26 +0000 2018,0.0,0.695,0.305,"Play with my @LogitechG setup!

To join the giveaway you must follow me and @TeamSoloMid , then RT and favorite thi… https://t.co/19QP7U5U7B",2
2,@lolHauntzer,0.0,Sat Apr 14 23:38:39 +0000 2018,0.0,1.0,0.0,@SebastianLindr2 I GOT IT,3
3,@lolHauntzer,0.5255,Thu Apr 12 22:52:46 +0000 2018,0.0,0.855,0.145,RT @TeamSoloMid: Having a blast today hanging out with the winners of the #TheBestTSMCanGetContest! Check out what we're up to on @gillette…,4
4,@lolHauntzer,0.4199,Thu Apr 12 22:36:47 +0000 2018,0.0,0.843,0.157,RT @TeamSoloMid: . @lolHauntzer out here lookin like a model ? check out https://t.co/LfBKTlcCQc to get the hoodie! https://t.co/OEOihAq3Ta,5
5,@lolHauntzer,0.1513,Sat Apr 07 08:49:36 +0000 2018,0.0,0.898,0.102,"Music artists I really want to see live sometime, Arctic Monkeys, Flogging Molly, and Elton John.",6
6,@lolHauntzer,0.0,Fri Apr 06 01:46:10 +0000 2018,0.0,1.0,0.0,Can't wait for the new Arctic Monkey's album,7
7,@lolHauntzer,-0.3182,Thu Apr 05 23:30:53 +0000 2018,0.103,0.897,0.0,"RT @TeamSoloMid: Go behind the scenes of the playoff loss in the final #TSMLegends episode of Spring Split.

?? https://t.co/lLsEQFQrRU htt…",8
8,@lolHauntzer,0.0,Wed Apr 04 00:53:38 +0000 2018,0.0,1.0,0.0,streaming some fortnite https://t.co/I7536Q7Yyj,9
9,@lolHauntzer,0.1779,Mon Apr 02 02:22:14 +0000 2018,0.242,0.537,0.221,"@TLDoublelift You must be strong Peter, I'm sorry for your loss",10
10,@lolHauntzer,-0.3244,Sun Apr 01 07:13:10 +0000 2018,0.096,0.904,0.0,"TSM has always made the finals and this split isn't any different, I can't wait to play in Miami! Looking to get th… https://t.co/isAz2OwDyf",11
11,@lolHauntzer,0.9287,Fri Mar 30 21:34:50 +0000 2018,0.0,0.52,0.48,"RT @LeagueOfLegends: Here's @lolHauntzer on why he loves top lane
""I love playing top because the overall play style changes a lot. It can…",12
12,@lolHauntzer,0.2023,Fri Mar 30 19:41:13 +0000 2018,0.0,0.917,0.083,RT @LogitechG: Our first Logitech G PRO Gaming Headset was designed for and built with the world's top #esports professionals. #PlayToWin #…,13
13,@lolHauntzer,-0.1779,Sun Mar 25 18:19:05 +0000 2018,0.116,0.884,0.0,I can hear it. Clutch is shaking in their boots in the room next door,14
14,@lolHauntzer,-0.5423,Wed Mar 21 03:23:41 +0000 2018,0.538,0.462,0.0,@TSMShady What the fuck,15
15,@lolHauntzer,0.0,Tue Mar 20 02:47:25 +0000 2018,0.0,1.0,0.0,@OvileeMay Yare yare,16
16,@lolHauntzer,0.2023,Mon Mar 19 04:04:24 +0000 2018,0.0,0.769,0.231,Ending the last week with a casual 4-0 ?,17
17,@lolHauntzer,0.6652,Sun Mar 18 21:58:43 +0000 2018,0.0,0.745,0.255,Rough split for CLG but I know they'll bounce back and be strong for summer,18
18,@lolHauntzer,0.2263,Sun Mar 18 20:06:27 +0000 2018,0.0,0.787,0.213,@RivingtonThe3rd @MeteosLoL I mean we're both straight guys right?,19
19,@lolHauntzer,0.0772,Sun Mar 18 19:57:20 +0000 2018,0.0,0.698,0.302,I want that 2nd seed,20
20,@lolHauntzer,0.25,Tue Apr 17 07:04:27 +0000 2018,0.18,0.523,0.297,Just tried Conqueror on Singed by accident and it was surprisingly good,21
21,@lolHauntzer,0.784,Tue Apr 17 05:43:26 +0000 2018,0.0,0.695,0.305,"Play with my @LogitechG setup!

To join the giveaway you must follow me and @TeamSoloMid , then RT and favorite thi… https://t.co/19QP7U5U7B",22
22,@lolHauntzer,0.0,Sat Apr 14 23:38:39 +0000 2018,0.0,1.0,0.0,@SebastianLindr2 I GOT IT,23
23,@lolHauntzer,0.5255,Thu Apr 12 22:52:46 +0000 2018,0.0,0.855,0.145,RT @TeamSoloMid: Having a blast today hanging out with the winners of the #TheBestTSMCanGetContest! Check out what we're up to on @gillette…,24
24,@lolHauntzer,0.4199,Thu Apr 12 22:36:47 +0000 2018,0.0,0.843,0.157,RT @TeamSoloMid: . @lolHauntzer out here lookin like a model ? check out https://t.co/LfBKTlcCQc to get the hoodie! https://t.co/OEOihAq3Ta,25
25,@lolHauntzer,0.1513,Sat Apr 07 08:49:36 +0000 2018,0.0,0.898,0.102,"Music artists I really want to see live sometime, Arctic Monkeys, Flogging Molly, and Elton John.",26
26,@lolHauntzer,0.0,Fri Apr 06 01:46:10 +0000 2018,0.0,1.0,0.0,Can't wait for the new Arctic Monkey's album,27
27,@lolHauntzer,-0.3182,Thu Apr 05 23:30:53 +0000 2018,0.103,0.897,0.0,"RT @TeamSoloMid: Go behind the scenes of the playoff loss in the final #TSMLegends episode of Spring Split.

?? https://t.co/lLsEQFQrRU htt…",28
28,@lolHauntzer,0.0,Wed Apr 04 00:53:38 +0000 2018,0.0,1.0,0.0,streaming some fortnite https://t.co/I7536Q7Yyj,29
29,@lolHauntzer,0.1779,Mon Apr 02 02:22:14 +0000 2018,0.242,0.537,0.221,"@TLDoublelift You must be strong Peter, I'm sorry for your loss",30
30,@lolHauntzer,-0.3244,Sun Apr 01 07:13:10 +0000 2018,0.096,0.904,0.0,"TSM has always made the finals and this split isn't any different, I can't wait to play in Miami! Looking to get th… https://t.co/isAz2OwDyf",31
31,@lolHauntzer,0.9287,Fri Mar 30 21:34:50 +0000 2018,0.0,0.52,0.48,"RT @LeagueOfLegends: Here's @lolHauntzer on why he loves top lane
""I love playing top because the overall play style changes a lot. It can…",32
32,@lolHauntzer,0.2023,Fri Mar 30 19:41:13 +0000 2018,0.0,0.917,0.083,RT @LogitechG: Our first Logitech G PRO Gaming Headset was designed for and built with the world's top #esports professionals. #PlayToWin #…,33
33,@lolHauntzer,-0.1779,Sun Mar 25 18:19:05 +0000 2018,0.116,0.884,0.0,I can hear it. Clutch is shaking in their boots in the room next door,34
34,@lolHauntzer,-0.5423,Wed Mar 21 03:23:41 +0000 2018,0.538,0.462,0.0,@TSMShady What the fuck,35
35,@lolHauntzer,0.0,Tue Mar 20 02:47:25 +0000 2018,0.0,1.0,0.0,@OvileeMay Yare yare,36
36,@lolHauntzer,0.2023,Mon Mar 19 04:04:24 +0000 2018,0.0,0.769,0.231,Ending the last week with a casual 4-0 ?,37
37,@lolHauntzer,0.6652,Sun Mar 18 21:58:43 +0000 2018,0.0,0.745,0.255,Rough split for CLG but I know they'll bounce back and be strong for summer,38
38,@lolHauntzer,0.2263,Sun Mar 18 20:06:27 +0000 2018,0.0,0.787,0.213,@RivingtonThe3rd @MeteosLoL I mean we're both straight guys right?,39
39,@lolHauntzer,0.0772,Sun Mar 18 19:57:20 +0000 2018,0.0,0.698,0.302,I want that 2nd seed,40
40,@lolHauntzer,0.25,Tue Apr 17 07:04:27 +0000 2018,0.18,0.523,0.297,Just tried Conqueror on Singed by accident and it was surprisingly good,41
41,@lolHauntzer,0.784,Tue Apr 17 05:43:26 +0000 2018,0.0,0.695,0.305,"Play with my @LogitechG setup!

To join the giveaway you must follow me and @TeamSoloMid , then RT and favorite thi… https://t.co/19QP7U5U7B",42
42,@lolHauntzer,0.0,Sat Apr 14 23:38:39 +0000 2018,0.0,1.0,0.0,@SebastianLindr2 I GOT IT,43
43,@lolHauntzer,0.5255,Thu Apr 12 22:52:46 +0000 2018,0.0,0.855,0.145,RT @TeamSoloMid: Having a blast today hanging out with the winners of the #TheBestTSMCanGetContest! Check out what we're up to on @gillette…,44
44,@lolHauntzer,0.4199,Thu Apr 12 22:36:47 +0000 2018,0.0,0.843,0.157,RT @TeamSoloMid: . @lolHauntzer out here lookin like a model ? check out https://t.co/LfBKTlcCQc to get the hoodie! https://t.co/OEOihAq3Ta,45
45,@lolHauntzer,0.1513,Sat Apr 07 08:49:36 +0000 2018,0.0,0.898,0.102,"Music artists I really want to see live sometime, Arctic Monkeys, Flogging Molly, and Elton John.",46
46,@lolHauntzer,0.0,Fri Apr 06 01:46:10 +0000 2018,0.0,1.0,0.0,Can't wait for the new Arctic Monkey's album,47
47,@lolHauntzer,-0.3182,Thu Apr 05 23:30:53 +0000 2018,0.103,0.897,0.0,"RT @TeamSoloMid: Go behind the scenes of the playoff loss in the final #TSMLegends episode of Spring Split.

?? https://t.co/lLsEQFQrRU htt…",48
48,@lolHauntzer,0.0,Wed Apr 04 00:53:38 +0000 2018,0.0,1.0,0.0,streaming some fortnite https://t.co/I7536Q7Yyj,49
49,@lolHauntzer,0.1779,Mon Apr 02 02:22:14 +0000 2018,0.242,0.537,0.221,"@TLDoublelift You must be strong Peter, I'm sorry for your loss",50
50,@lolHauntzer,-0.3244,Sun Apr 01 07:13:10 +0000 2018,0.096,0.904,0.0,"TSM has always made the finals and this split isn't any different, I can't wait to play in Miami! Looking to get th… https://t.co/isAz2OwDyf",51
51,@lolHauntzer,0.9287,Fri Mar 30 21:34:50 +0000 2018,0.0,0.52,0.48,"RT @LeagueOfLegends: Here's @lolHauntzer on why he loves top lane
""I love playing top because the overall play style changes a lot. It can…",52
52,@lolHauntzer,0.2023,Fri Mar 30 19:41:13 +0000 2018,0.0,0.917,0.083,RT @LogitechG: Our first Logitech G PRO Gaming Headset was designed for and built with the world's top #esports professionals. #PlayToWin #…,53
53,@lolHauntzer,-0.1779,Sun Mar 25 18:19:05 +0000 2018,0.116,0.884,0.0,I can hear it. Clutch is shaking in their boots in the room next door,54
54,@lolHauntzer,-0.5423,Wed Mar 21 03:23:41 +0000 2018,0.538,0.462,0.0,@TSMShady What the fuck,55
55,@lolHauntzer,0.0,Tue Mar 20 02:47:25 +0000 2018,0.0,1.0,0.0,@OvileeMay Yare yare,56
56,@lolHauntzer,0.2023,Mon Mar 19 04:04:24 +0000 2018,0.0,0.769,0.231,Ending the last week with a casual 4-0 ?,57
57,@lolHauntzer,0.6652,Sun Mar 18 21:58:43 +0000 2018,0.0,0.745,0.255,Rough split for CLG but I know they'll bounce back and be strong for summer,58
58,@lolHauntzer,0.2263,Sun Mar 18 20:06:27 +0000 2018,0.0,0.787,0.213,@RivingtonThe3rd @MeteosLoL I mean we're both straight guys right?,59
59,@lolHauntzer,0.0772,Sun Mar 18 19:57:20 +0000 2018,0.0,0.698,0.302,I want that 2nd seed,60
60,@lolHauntzer,0.25,Tue Apr 17 07:04:27 +0000 2018,0.18,0.523,0.297,Just tried Conqueror on Singed by accident and it was surprisingly good,61
61,@lolHauntzer,0.784,Tue Apr 17 05:43:26 +0000 2018,0.0,0.695,0.305,"Play with my @LogitechG setup!

To join the giveaway you must follow me and @TeamSoloMid , then RT and favorite thi… https://t.co/19QP7U5U7B",62
62,@lolHauntzer,0.0,Sat Apr 14 23:38:39 +0000 2018,0.0,1.0,0.0,@SebastianLindr2 I GOT IT,63
63,@lolHauntzer,0.5255,Thu Apr 12 22:52:46 +0000 2018,0.0,0.855,0.145,RT @TeamSoloMid: Having a blast today hanging out with the winners of the #TheBestTSMCanGetContest! Check out what we're up to on @gillette…,64
64,@lolHauntzer,0.4199,Thu Apr 12 22:36:47 +0000 2018,0.0,0.843,0.157,RT @TeamSoloMid: . @lolHauntzer out here lookin like a model ? check out https://t.co/LfBKTlcCQc to get the hoodie! https://t.co/OEOihAq3Ta,65
65,@lolHauntzer,0.1513,Sat Apr 07 08:49:36 +0000 2018,0.0,0.898,0.102,"Music artists I really want to see live sometime, Arctic Monkeys, Flogging Molly, and Elton John.",66
66,@lolHauntzer,0.0,Fri Apr 06 01:46:10 +0000 2018,0.0,1.0,0.0,Can't wait for the new Arctic Monkey's album,67
67,@lolHauntzer,-0.3182,Thu Apr 05 23:30:53 +0000 2018,0.103,0.897,0.0,"RT @TeamSoloMid: Go behind the scenes of the playoff loss in the final #TSMLegends episode of Spring Split.

?? https://t.co/lLsEQFQrRU htt…",68
68,@lolHauntzer,0.0,Wed Apr 04 00:53:38 +0000 2018,0.0,1.0,0.0,streaming some fortnite https://t.co/I7536Q7Yyj,69
69,@lolHauntzer,0.1779,Mon Apr 02 02:22:14 +0000 2018,0.242,0.537,0.221,"@TLDoublelift You must be strong Peter, I'm sorry for your loss",70
70,@lolHauntzer,-0.3244,Sun Apr 01 07:13:10 +0000 2018,0.096,0.904,0.0,"TSM has always made the finals and this split isn't any different, I can't wait to play in Miami! Looking to get th… https://t.co/isAz2OwDyf",71
71,@lolHauntzer,0.9287,Fri Mar 30 21:34:50 +0000 2018,0.0,0.52,0.48,"RT @LeagueOfLegends: Here's @lolHauntzer on why he loves top lane
""I love playing top because the overall play style changes a lot. It can…",72
72,@lolHauntzer,0.2023,Fri Mar 30 19:41:13 +0000 2018,0.0,0.917,0.083,RT @LogitechG: Our first Logitech G PRO Gaming Headset was designed for and built with the world's top #esports professionals. #PlayToWin #…,73
73,@lolHauntzer,-0.1779,Sun Mar 25 18:19:05 +0000 2018,0.116,0.884,0.0,I can hear it. Clutch is shaking in their boots in the room next door,74
74,@lolHauntzer,-0.5423,Wed Mar 21 03:23:41 +0000 2018,0.538,0.462,0.0,@TSMShady What the fuck,75
75,@lolHauntzer,0.0,Tue Mar 20 02:47:25 +0000 2018,0.0,1.0,0.0,@OvileeMay Yare yare,76
76,@lolHauntzer,0.2023,Mon Mar 19 04:04:24 +0000 2018,0.0,0.769,0.231,Ending the last week with a casual 4-0 ?,77
77,@lolHauntzer,0.6652,Sun Mar 18 21:58:43 +0000 2018,0.0,0.745,0.255,Rough split for CLG but I know they'll bounce back and be strong for summer,78
78,@lolHauntzer,0.2263,Sun Mar 18 20:06:27 +0000 2018,0.0,0.787,0.213,@RivingtonThe3rd @MeteosLoL I mean we're both straight guys right?,79
79,@lolHauntzer,0.0772,Sun Mar 18 19:57:20 +0000 2018,0.0,0.698,0.302,I want that 2nd seed,80
80,@lolHauntzer,0.25,Tue Apr 17 07:04:27 +0000 2018,0.18,0.523,0.297,Just tried Conqueror on Singed by accident and it was surprisingly good,81
81,@lolHauntzer,0.784,Tue Apr 17 05:43:26 +0000 2018,0.0,0.695,0.305,"Play with my @LogitechG setup!

To join the giveaway you must follow me and @TeamSoloMid , then RT and favorite thi… https://t.co/19QP7U5U7B",82
82,@lolHauntzer,0.0,Sat Apr 14 23:38:39 +0000 2018,0.0,1.0,0.0,@SebastianLindr2 I GOT IT,83
83,@lolHauntzer,0.5255,Thu Apr 12 22:52:46 +0000 2018,0.0,0.855,0.145,RT @TeamSoloMid: Having a blast today hanging out with the winners of the #TheBestTSMCanGetContest! Check out what we're up to on @gillette…,84
84,@lolHauntzer,0.4199,Thu Apr 12 22:36:47 +0000 2018,0.0,0.843,0.157,RT @TeamSoloMid: . @lolHauntzer out here lookin like a model ? check out https://t.co/LfBKTlcCQc to get the hoodie! https://t.co/OEOihAq3Ta,85
85,@lolHauntzer,0.1513,Sat Apr 07 08:49:36 +0000 2018,0.0,0.898,0.102,"Music artists I really want to see live sometime, Arctic Monkeys, Flogging Molly, and Elton John.",86
86,@lolHauntzer,0.0,Fri Apr 06 01:46:10 +0000 2018,0.0,1.0,0.0,Can't wait for the new Arctic Monkey's album,87
87,@lolHauntzer,-0.3182,Thu Apr 05 23:30:53 +0000 2018,0.103,0.897,0.0,"RT @TeamSoloMid: Go behind the scenes of the playoff loss in the final #TSMLegends episode of Spring Split.

?? https://t.co/lLsEQFQrRU htt…",88
88,@lolHauntzer,0.0,Wed Apr 04 00:53:38 +0000 2018,0.0,1.0,0.0,streaming some fortnite https://t.co/I7536Q7Yyj,89
89,@lolHauntzer,0.1779,Mon Apr 02 02:22:14 +0000 2018,0.242,0.537,0.221,"@TLDoublelift You must be strong Peter, I'm sorry for your loss",90
90,@lolHauntzer,-0.3244,Sun Apr 01 07:13:10 +0000 2018,0.096,0.904,0.0,"TSM has always made the finals and this split isn't any different, I can't wait to play in Miami! Looking to get th… https://t.co/isAz2OwDyf",91
91,@lolHauntzer,0.9287,Fri Mar 30 21:34:50 +0000 2018,0.0,0.52,0.48,"RT @LeagueOfLegends: Here's @lolHauntzer on why he loves top lane
""I love playing top because the overall play style changes a lot. It can…",92
92,@lolHauntzer,0.2023,Fri Mar 30 19:41:13 +0000 2018,0.0,0.917,0.083,RT @LogitechG: Our first Logitech G PRO Gaming Headset was designed for and built with the world's top #esports professionals. #PlayToWin #…,93
93,@lolHauntzer,-0.1779,Sun Mar 25 18:19:05 +0000 2018,0.116,0.884,0.0,I can hear it. Clutch is shaking in their boots in the room next door,94
94,@lolHauntzer,-0.5423,Wed Mar 21 03:23:41 +0000 2018,0.538,0.462,0.0,@TSMShady What the fuck,95
95,@lolHauntzer,0.0,Tue Mar 20 02:47:25 +0000 2018,0.0,1.0,0.0,@OvileeMay Yare yare,96
96,@lolHauntzer,0.2023,Mon Mar 19 04:04:24 +0000 2018,0.0,0.769,0.231,Ending the last week with a casual 4-0 ?,97
97,@lolHauntzer,0.6652,Sun Mar 18 21:58:43 +0000 2018,0.0,0.745,0.255,Rough split for CLG but I know they'll bounce back and be strong for summer,98
98,@lolHauntzer,0.2263,Sun Mar 18 20:06:27 +0000 2018,0.0,0.787,0.213,@RivingtonThe3rd @MeteosLoL I mean we're both straight guys right?,99
99,@lolHauntzer,0.0772,Sun Mar 18 19:57:20 +0000 2018,0.0,0.698,0.302,I want that 2nd seed,100
100,@TSMTheOddOne,0.0,Tue Apr 17 23:08:57 +0000 2018,0.0,1.0,0.0,"New vid out, will be starting stream soon with League/FarCry 5: https://t.co/vzVReMI6fd",101
101,@TSMTheOddOne,-0.4767,Mon Apr 09 20:51:21 +0000 2018,0.256,0.744,0.0,"New vid out, stream will be league/Far Cry tonight: https://t.co/JyOR1F9BrP",102
102,@TSMTheOddOne,-0.34,Sun Apr 01 21:48:28 +0000 2018,0.118,0.882,0.0,@MattDemers Im here for the side stories/games since after 4 every cutscene devolves into who gets shot by a gun offscreen,103
103,@TSMTheOddOne,0.0,Sun Apr 01 21:44:49 +0000 2018,0.0,1.0,0.0,"New vid out, Will continue Yakuza 5 stream after 100T vs CG game : https://t.co/LNBf4Q6iyN",104
104,@TSMTheOddOne,0.4184,Fri Mar 30 01:14:18 +0000 2018,0.0,0.859,0.141,"Now streaming some Survival Arena tournament action!  Come join the in game tournament Oddone-4!
Download now: 
Ama… https://t.co/Qbjhfnor6V",105
105,@TSMTheOddOne,0.5848,Mon Mar 26 00:32:44 +0000 2018,0.0,0.814,0.186,Be sure to tune in on stream in an hour for some Survival Arena tournament action!  Come join the in game tournamen… https://t.co/69IUwiSEhh,106
106,@TSMTheOddOne,0.5848,Wed Mar 21 00:05:13 +0000 2018,0.0,0.78,0.22,"Be sure to join me on stream in an hour for some Survival Arena action! Download now: 
Android:… https://t.co/6GvALFU0wF",107
107,@TSMTheOddOne,-0.7351,Mon Mar 19 23:05:58 +0000 2018,0.332,0.594,0.074,"Stream on, either getting challenger today or failing horribly then Slay the Spire later: https://t.co/WniEvqe01E",108
108,@TSMTheOddOne,0.0,Sun Mar 18 22:37:42 +0000 2018,0.0,1.0,0.0,New vid out!  Also Yakuza 5 Stream will be slightly late as I woke up around 5PM (30 minutes ago.): https://t.co/dnUrtcvKmM,109
109,@TSMTheOddOne,0.5562,Fri Mar 16 00:47:18 +0000 2018,0.0,0.841,0.159,Switching to over to Battlerite for some more Season 1 action (now with Raigon feeding too!) #Battlerite now Free t… https://t.co/KyugTWTO0b,110
110,@TSMTheOddOne,0.5106,Thu Mar 15 01:09:13 +0000 2018,0.0,0.852,0.148,Switching to over to Battlerite for some Season 1 action (or mostly just Rook feeding) #Battlerite now Free to play… https://t.co/1yqaiI4HyA,111
111,@TSMTheOddOne,0.0,Wed Mar 14 23:21:38 +0000 2018,0.0,1.0,0.0,@LilForteRush I use Sidesync which works for samsung phones (the other way would be to use a HDMI cable adapter int… https://t.co/guhig9x2VP,112
112,@TSMTheOddOne,0.743,Wed Mar 07 05:46:17 +0000 2018,0.0,0.741,0.259,"@hairyandcranky I think that one was skipped (chat said it was bad), played explorers of sky and super mystery dungeon though",113
113,@TSMTheOddOne,0.4019,Wed Feb 28 21:56:57 +0000 2018,0.0,0.27,0.73,@Kennesu yes,114
114,@TSMTheOddOne,-0.2263,Tue Feb 27 10:05:12 +0000 2018,0.148,0.739,0.113,"@Telanissa a good first step, we haven't had a new mode since arena assault which has been over half a year ago, ho… https://t.co/tEnp9WfsYO",115
115,@TSMTheOddOne,0.5267,Fri Feb 23 03:41:17 +0000 2018,0.0,0.866,0.134,Time Warp Tonic is actually a fairly big buff for Olaf as he's one of the few champions that can actually run Hunte… https://t.co/C4J0Ssh8Hq,116
116,@TSMTheOddOne,0.0,Thu Feb 22 21:49:50 +0000 2018,0.0,1.0,0.0,"@Tarfu only 5 years, need to time travel to make it 6",117
117,@TSMTheOddOne,0.0,Mon Feb 19 22:07:20 +0000 2018,0.0,1.0,0.0,"New vid out, streaming soon with some MK8/League: https://t.co/o5Gc3GuUcq",118
118,@TSMTheOddOne,0.5719,Fri Feb 09 21:46:45 +0000 2018,0.0,0.575,0.425,@WildTurtle Happy Birthday Yung Turtle https://t.co/Qf7IpIqsO0,119
119,@TSMTheOddOne,0.8779,Fri Feb 09 01:41:28 +0000 2018,0.0,0.674,0.326,RT @Tarfu: You ever dream of working at @Twitch and supporting the people you love? This is a rare chance to hop in with us here in @Twitch…,120
120,@TSMTheOddOne,0.0,Tue Apr 17 23:08:57 +0000 2018,0.0,1.0,0.0,"New vid out, will be starting stream soon with League/FarCry 5: https://t.co/vzVReMI6fd",121
121,@TSMTheOddOne,-0.4767,Mon Apr 09 20:51:21 +0000 2018,0.256,0.744,0.0,"New vid out, stream will be league/Far Cry tonight: https://t.co/JyOR1F9BrP",122
122,@TSMTheOddOne,-0.34,Sun Apr 01 21:48:28 +0000 2018,0.118,0.882,0.0,@MattDemers Im here for the side stories/games since after 4 every cutscene devolves into who gets shot by a gun offscreen,123
123,@TSMTheOddOne,0.0,Sun Apr 01 21:44:49 +0000 2018,0.0,1.0,0.0,"New vid out, Will continue Yakuza 5 stream after 100T vs CG game : https://t.co/LNBf4Q6iyN",124
124,@TSMTheOddOne,0.4184,Fri Mar 30 01:14:18 +0000 2018,0.0,0.859,0.141,"Now streaming some Survival Arena tournament action!  Come join the in game tournament Oddone-4!
Download now: 
Ama… https://t.co/Qbjhfnor6V",125
125,@TSMTheOddOne,0.5848,Mon Mar 26 00:32:44 +0000 2018,0.0,0.814,0.186,Be sure to tune in on stream in an hour for some Survival Arena tournament action!  Come join the in game tournamen… https://t.co/69IUwiSEhh,126
126,@TSMTheOddOne,0.5848,Wed Mar 21 00:05:13 +0000 2018,0.0,0.78,0.22,"Be sure to join me on stream in an hour for some Survival Arena action! Download now: 
Android:… https://t.co/6GvALFU0wF",127
127,@TSMTheOddOne,-0.7351,Mon Mar 19 23:05:58 +0000 2018,0.332,0.594,0.074,"Stream on, either getting challenger today or failing horribly then Slay the Spire later: https://t.co/WniEvqe01E",128
128,@TSMTheOddOne,0.0,Sun Mar 18 22:37:42 +0000 2018,0.0,1.0,0.0,New vid out!  Also Yakuza 5 Stream will be slightly late as I woke up around 5PM (30 minutes ago.): https://t.co/dnUrtcvKmM,129
